Dummy,Locality,Assemblage name,GeoLayer,ArchLayer,Laboratory,Analysis number,Age,Pos. standard deviation,Neg. standard deviation,Dating method,Material dated,Date of analysis,Comments
,Goyet,"Goyet level 1, 2 or 3 human remains 1",second ossiferous level,second ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,"Goyet level 1, 2 or 3 human remains 1",third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,"Goyet level 1, 2, 3 or 4 human remains 1",first ossiferous level,first ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,"Goyet level 1, 2, 3 or 4 human remains 1",fourth ossiferous level,fourth ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,"Goyet level 1, 2, 3 or 4 human remains 1",second ossiferous level,second ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,"Goyet level 1, 2, 3 or 4 human remains 1",third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 2 or 3 human remains 1,second ossiferous level,second ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 2 or 3 human remains 1,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 1,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 2,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 3,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 4,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 5,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 6,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 7,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 8,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 9,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 10,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 11,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 12,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 13,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 14,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 15,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 16,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 17,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 18,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 19,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 20,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 21,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 22,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 23,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 24,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 25,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 26,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 27,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 28,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 29,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 30,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 31,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 32,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 33,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 34,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 35,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 36,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 37,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 38,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 39,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 40,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 41,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 42,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 43,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 44,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 45,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 46,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 47,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 48,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 49,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 50,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 51,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 52,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 53,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 54,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 55,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 56,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 57,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 58,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 59,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 60,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 61,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 62,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 63,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 64,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 65,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 66,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 67,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 68,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 69,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 70,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 71,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 72,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 73,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 74,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 75,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 2 or 3 human remains 2,second ossiferous level,second ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 2 or 3 human remains 2,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3? human remains 1,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 4? human remains 1,fourth ossiferous level,fourth ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 4? human remains 2,fourth ossiferous level,fourth ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 4? human remains 3,fourth ossiferous level,fourth ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 4? human remains 4,fourth ossiferous level,fourth ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 4? human remains 5,fourth ossiferous level,fourth ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 4? human remains 6,fourth ossiferous level,fourth ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 4? human remains 7,fourth ossiferous level,fourth ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 4? human remains 8,fourth ossiferous level,fourth ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 4? human remains 9,fourth ossiferous level,fourth ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 4? human remains 10,fourth ossiferous level,fourth ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 human remains 76,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 2 fauna Q53,second ossiferous level,second ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 fauna Q55,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 fauna Q375,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Goyet,Goyet level 3 fauna Q376,third ossiferous level,third ossiferous level,-,-,-,-,-,-,-,-,-
,Grabschütz,"Grabschütz Sandy Deposits, Fauna",Sandy Deposits,Sandy Deposits,-,-,-,-,-,-,-,-,-
,Grabschütz,"Grabschütz Limnic Sediment Sequence, micromammals 2",Limnic Sediment Sequence,Limnic Sediment Sequence,-,-,-,-,-,-,-,-,-
,Grabschütz,"Grabschütz Sandy Deposits, micromammals",Sandy Deposits,Sandy Deposits,-,-,-,-,-,-,-,-,-
,Gran Dolina,"Gran Dolina TD 11, Micromammals",TD11,TD11,IPH,AT9610,308000,46000,46000,"ESR (electron spin resonance) dating, U series (uranium-thorium) dating",tooth,-1,-
,,,,,,,,,,,,,
,,,,TD11,IPH,AT9705,332000,50000,50000,"ESR (electron spin resonance) dating, U series (uranium-thorium) dating",tooth,-1,-
,,,,,,,,,,,,,
,,,,TD11,IPH,AT9707,390000,59000,59000,"ESR (electron spin resonance) dating, U series (uranium-thorium) dating",tooth,-1,-
,Grand Abri aux Puces,GAP layer 2 microfauna,Layer 2,Layer 2,-,-,-,-,-,-,-,-,-
,Grand Abri aux Puces,GAP layer 1 microfauna,Layer 1,Layer 1,-,-,-,-,-,-,-,-,-
,Grand Abri aux Puces,GAP macrofauna,Layer 1,Layer 1,-,-,-,-,-,-,-,-,-
,Grand Abri aux Puces,GAP macrofauna,Layer 2,Layer 2,-,-,-,-,-,-,-,-,-
,Gron - Fond des Blanchards,Gron - Fond des Blanchards Level D3 Fauna,Unit 3,Layer D3,-,-,-,-,-,-,-,-,-
,Gron - Fond des Blanchards,Gron - Fond des Blanchards Level D2 Fauna,Unit 4,Layer D2,-,-,-,-,-,-,-,-,-
,Gron - Fond des Blanchards,Gron - Fond des Blanchards Level Da Fauna,Unit 5,Layer Da,-,-,-,-,-,-,-,-,-
,Grotta Grande of Scario,"GGSA, Unit D, cut 10-11, Fauna",Unit D cuts 11-10,Layer D cuts 11-10,-,-,-,-,-,-,-,-,-
,Grotta Grande of Scario,"GGSA, Unit D, cut 12, Fauna",Unit D cut 12,Layer D cut 12,-,-,-,-,-,-,-,-,-
,Grotta Grande of Scario,"GGSA, Unit D, cut 13, Fauna",Unit D cuts 17-13,Layer D cuts 17-13,-,-,-,-,-,-,-,-,-
,Grotta Grande of Scario,"GGSA, Unit D, cut 14, Fauna",Unit D cuts 17-13,Layer D cuts 17-13,-,-,-,-,-,-,-,-,-
,Grotta Grande of Scario,"GGSA, Unit D, cut 15, Fauna",Unit D cuts 17-13,Layer D cuts 17-13,-,-,-,-,-,-,-,-,-
,Grotta Grande of Scario,"GGSA, Unit D, cut 16, Fauna",Unit D cuts 17-13,Layer D cuts 17-13,-,-,-,-,-,-,-,-,-
,Grotta Grande of Scario,"GGSA, Unit D, cut 17, Fauna",Unit D cuts 17-13,Layer D cuts 17-13,-,-,-,-,-,-,-,-,-
,Grotta Grande of Scario,"GGSA, Unit D, cut 19, Fauna",Unit D cuts 18-19,Layer D cuts 18-19,-,-,-,-,-,-,-,-,-
,Grotta Grande of Scario,"GGSA, Unit D, cut 20-21, Fauna",Unit D cuts 20-21,Layer D cuts 20-21,-,-,-,-,-,-,-,-,-
,Grotta Grande of Scario,"GGSA, Unit D, cut 22, micromammals",Unit D cuts 22-28,Layer D cuts 22-28,-,-,-,-,-,-,-,-,-
,Grotta Grande of Scario,"GGSA, Unit D, cut 19, micromammals",Unit D cuts 18-19,Layer D cuts 18-19,-,-,-,-,-,-,-,-,-
,Grotta Grande of Scario,"GGSA, Unit D, cut 17, micromammals",Unit D cuts 17-13,Layer D cuts 17-13,-,-,-,-,-,-,-,-,-
,Grotta Grande of Scario,"GGSA, Unit D, cut 16, micromammals",Unit D cuts 17-13,Layer D cuts 17-13,-,-,-,-,-,-,-,-,-
,Grotta Grande of Scario,"GGSA, Unit D, cut 15, micromammals",Unit D cuts 17-13,Layer D cuts 17-13,-,-,-,-,-,-,-,-,-
,Grotta Grande of Scario,"GGSA, Unit D, cut 14, micromammals",Unit D cuts 17-13,Layer D cuts 17-13,-,-,-,-,-,-,-,-,-
,Grotta Grande of Scario,"GGSA, Unit D, cut 13, micromammals",Unit D cuts 17-13,Layer D cuts 17-13,-,-,-,-,-,-,-,-,-
,Grotta Grande of Scario,"GGSA, Unit D, cut 12, micromammals",Unit D cut 12,Layer D cut 12,-,-,-,-,-,-,-,-,-
,Grotta Grande of Scario,"GGSA, Unit D, cut 10-11, micromammals",Unit D cuts 11-10,Layer D cuts 11-10,-,-,-,-,-,-,-,-,-
,Grotta Grande of Scario,"GGSF, Layer 2, micromammals",Layer 2,Layer 2,-,-,-,-,-,-,-,-,-
,Grotta Grande of Scario,"GGSF, Layer 3, micromammals",Layer 3,Layer 3,-,-,-,-,-,-,-,-,-
,Grotta Grande of Scario,"GGSF, Layer 4, micromammals",Layer 4,Layer 4,-,-,-,-,-,-,-,-,-
,Grotta Grande of Scario,"GGSF, Layer 5, micromammals",Layer 5,Layer 5,-,-,-,-,-,-,-,-,-
,Grotta Grande of Scario,"GGSF, Layer 6, micromammals",Layer 6,Layer 6,-,-,-,-,-,-,-,-,-
,Grotta Grande of Scario,"GGSF, Layer 7, micromammals",Layer 7,Layer 7,-,-,-,-,-,-,-,-,-
,Grotta Grande of Scario,"GGSF, Layer 8, micromammals",Layer 8,Layer 8,-,-,-,-,-,-,-,-,-
,Grotta Grande of Scario,"GGSF, Layer 10, micromammals",Layer 10,Layer 10,-,-,-,-,-,-,-,-,-
,Grotta Grande of Scario,"GGSF, Layer 10, Fauna",Layer 10,Layer 10,-,-,-,-,-,-,-,-,-
,Grotta Grande of Scario,"GGSF, Layer 8, Fauna",Layer 8,Layer 8,-,-,-,-,-,-,-,-,-
,Grotta Grande of Scario,"GGSF, Layer 7, Fauna",Layer 7,Layer 7,-,-,-,-,-,-,-,-,-
,Grotta Grande of Scario,"GGSF, Layer 6, Fauna",Layer 6,Layer 6,-,-,-,-,-,-,-,-,-
,Grotta Grande of Scario,"GGSF, Layer 2, Fauna",Layer 2,Layer 2,-,-,-,-,-,-,-,-,-
,Grotta Maggiore di San Bernardino,Grotta Maggiore di San Bernardino Layer VI fauna,Unit VI,Layer VI,-,-,-,-,-,-,-,-,-
,Grotta Maggiore di San Bernardino,Grotta Maggiore di San Bernardino Layer V -IV fauna,Unit IV,Layer IV,-,-,-,-,-,-,-,-,-
,Grotta Maggiore di San Bernardino,Grotta Maggiore di San Bernardino Layer V -IV fauna,Unit V,Layer V,-,-,-,-,-,-,-,-,-
,Grotta Maggiore di San Bernardino,Grotta Maggiore di San Bernardino Layer III-II fauna,Unit II,Layer II,-,-,-,-,-,-,-,-,-
,Grotta Maggiore di San Bernardino,Grotta Maggiore di San Bernardino Layer III-II fauna,Unit III,Layer III,-,-,-,-,-,-,-,-,-
,Grotta Maggiore di San Bernardino,Grotta Maggiore di San Bernardino Layer III-II (layer B) fauna,Unit II,Layer II,-,-,-,-,-,-,-,-,-
,Grotta Maggiore di San Bernardino,Grotta Maggiore di San Bernardino Layer III-II (layer B) fauna,Unit III,Layer III,-,-,-,-,-,-,-,-,-
,Grotta Maggiore di San Bernardino,Grotta Maggiore di San Bernardino Layer IV (layer C) fauna,Unit IV,Layer IV,-,-,-,-,-,-,-,-,-
,Grotta Maggiore di San Bernardino,Grotta Maggiore di San Bernardino Layer VIII - V (layer L - D) fauna,Unit V,Layer V,-,-,-,-,-,-,-,-,-
,Grotta Maggiore di San Bernardino,Grotta Maggiore di San Bernardino Layer VIII - V (layer L - D) fauna,Unit VI,Layer VI,-,-,-,-,-,-,-,-,-
,Grotta Maggiore di San Bernardino,"Grotta Maggiore di San Bernardino, Unit II, Micromammals",Unit II,Layer II,-,-,-,-,-,-,-,-,-
,Grotta Maggiore di San Bernardino,"Grotta Maggiore di San Bernardino, Unit III, Micromammals",Unit III,Layer III,-,-,-,-,-,-,-,-,-
,Grotta Maggiore di San Bernardino,"Grotta Maggiore di San Bernardino, Unit IV, Micromammals",Unit IV,Layer IV,-,-,-,-,-,-,-,-,-
,Grotta Maggiore di San Bernardino,"Grotta Maggiore di San Bernardino, Unit V, Micromammals",Unit V,Layer V,-,-,-,-,-,-,-,-,-
,Grotta Maggiore di San Bernardino,"Grotta Maggiore di San Bernardino, Unit VI, Micromammals",Unit VI,Layer VI,-,-,-,-,-,-,-,-,-
,Grotta Reali,Grotta Reali US 5 Fauna,DU 6 SU5,DU 6 SU5,-,-,-,-,-,-,-,-,-
,Grotta Reali,Grotta Reali US 2abc Fauna,DU 2 SU2abc,DU 2 SU2abc,-,-,-,-,-,-,-,-,-
,Grotta Reali,Grotta Reali US 1 Fauna,DU 1 SU1a-i,DU 1 SU1a-i,-,-,-,-,-,-,-,-,-
,Grotta dei Santi,Grotta dei Santi Layer 20.2-1004 Fauna,Layer 20.2-1004,Layer 20.2-1004,-,-,-,-,-,-,-,-,-
,Grotta dei Santi,Grotta dei Santi Layer 20.3.1-150A Fauna,Layer 20.3.1-150,Layer 20.3.1-150,-,-,-,-,-,-,-,-,-
,Grotta dei Santi,Grotta dei Santi Layer 20.3.2-111 Fauna,Layer 20.3.2-111,Layer 20.3.2-111,-,-,-,-,-,-,-,-,-
,Grotta dei Santi,Grotta dei Santi Layer 20.3.2-110 Fauna,Layer 20.3.2-110,Layer 20.3.2-110,-,-,-,-,-,-,-,-,-
,Grotta dei Santi,Grotta dei Santi Layer 20.3.2-110-111 Fauna,Layer 20.3.2-110,Layer 20.3.2-110,-,-,-,-,-,-,-,-,-
,Grotta dei Santi,Grotta dei Santi Layer 20.3.3-107 Fauna,Layer 20.3.3-107,Layer 20.3.3-107,-,-,-,-,-,-,-,-,-
,Grotta dei Santi,Grotta dei Santi Layer 20.3.3-105-106 Fauna,Layer 20.3.3-105,Layer 20.3.3-105,-,-,-,-,-,-,-,-,-
,Grotta del Cavallo,Grotta del Cavallo human remains 01,Layer L,Layer L,-,-,-,-,-,-,-,-,-
,Grotta del Cavallo,Grotta del Cavallo human remains 04,Layer F,Layer F,-,-,-,-,-,-,-,-,-
,Grotta del Cavallo,Grotta del Cavallo Layer E III5 Fauna,Layer E III,Layer E III,-,-,-,-,-,-,-,-,-
,Grotta del Cavallo,Grotta del Cavallo Layer F I Fauna,Layer F,Layer F,-,-,-,-,-,-,-,-,-
,Grotta del Cavallo,Grotta del Cavallo Layer F II Fauna,Layer F,Layer F,-,-,-,-,-,-,-,-,-
,Grotta del Poggio,Grotta del Poggio Layer 6 human remains,Unit 6,Layer 6,-,-,-,-,-,-,-,-,-
,Grotta del Poggio,Grotta del Poggio Layer 2 fauna,Unit 2,Layer 2,-,-,-,-,-,-,-,-,-
,Grotta del Poggio,Grotta del Poggio Layer 3 fauna,Unit 3,Layer 3,-,-,-,-,-,-,-,-,-
,Grotta del Poggio,Grotta del Poggio Layer 4 fauna,Unit 4,Layer 4,-,-,-,-,-,-,-,-,-
,Grotta del Poggio,Grotta del Poggio Layer 5 fauna,Unit 5,Layer 5,-,-,-,-,-,-,-,-,-
,Grotta del Poggio,Grotta del Poggio Layer 6 fauna,Unit 6,Layer 6,-,-,-,-,-,-,-,-,-
,Grotta del Poggio,Grotta del Poggio Layer 7 fauna,Unit 7,Layer 7,-,-,-,-,-,-,-,-,-
,Grotta del Poggio,Grotta del Poggio Layer 7/8 fauna,Unit 7,Layer 7,-,-,-,-,-,-,-,-,-
,Grotta del Poggio,Grotta del Poggio Layer 7/8 fauna,Unit 8,Layer 8,-,-,-,-,-,-,-,-,-
,Grotta del Poggio,Grotta del Poggio Layer 8 fauna,Unit 8,Layer 8,-,-,-,-,-,-,-,-,-
,Grotta del Poggio,Grotta del Poggio Layer 9 fauna,Unit 9,Layer 9,-,-,-,-,-,-,-,-,-
,Grotta del Poggio,Grotta del Poggio Layer 9/10 fauna,Unit 10,Layer 10,-,-,-,-,-,-,-,-,-
,Grotta del Poggio,Grotta del Poggio Layer 9/10 fauna,Unit 9,Layer 9,-,-,-,-,-,-,-,-,-
,Grotta del Poggio,Grotta del Poggio Layer 11 fauna,Unit 11,Layer 11,-,-,-,-,-,-,-,-,-
,Grotta del Poggio,Grotta del Poggio Layer 12 fauna,Unit 12,Layer 12,-,-,-,-,-,-,-,-,-
,Grotta del Poggio,Grotta del Poggio Layer 13 fauna,Unit 13,Layer 13,-,-,-,-,-,-,-,-,-
,Grotta di Santo Agostino,Grotta di Santo Agostino Unit A Fauna,Unit A,Unit A,-,-,-,-,-,-,-,-,-
,Grotta di Santo Agostino,Grotta di Santo Agostino Unit A1 Fauna,Unit A1,Unit A1,-,-,-,-,-,-,-,-,-
,Grotta di Santo Agostino,Grotta di Santo Agostino Unit A2 Fauna,Unit A2,Unit A2,-,-,-,-,-,-,-,-,-
,Grotta di Santo Agostino,Grotta di Santo Agostino Unit A3 Fauna,Unit A3,Unit A3,-,-,-,-,-,-,-,-,-
,Grotta di Santo Agostino,Grotta di Santo Agostino Unit A4 Fauna,Unit A4,Unit A4,-,-,-,-,-,-,-,-,-
,Grotta di Santo Agostino,Grotta di Santo Agostino Unit Ax Fauna,Unit A,Unit A,-,-,-,-,-,-,-,-,-
,Grotta di Santo Agostino,Grotta di Santo Agostino Unit Ax Fauna,Unit A1,Unit A1,-,-,-,-,-,-,-,-,-
,Grotta di Santo Agostino,Grotta di Santo Agostino Unit Ax Fauna,Unit A2,Unit A2,-,-,-,-,-,-,-,-,-
,Grotta di Santo Agostino,Grotta di Santo Agostino Unit Ax Fauna,Unit A3,Unit A3,-,-,-,-,-,-,-,-,-
,Grotta di Santo Agostino,Grotta di Santo Agostino Unit Ax Fauna,Unit A4,Unit A4,-,-,-,-,-,-,-,-,-
,Grotte Vaufrey,Grotte Vaufrey Layer I Human Remains,Unit 1,Layer I,-,-,-,-,-,-,-,-,-
,Grotte Vaufrey,Grotte Vaufrey Layer I fauna,Unit 1,Layer I,-,-,-,-,-,-,-,-,-
,Grotte XVI,Grotte XVI Layer 0,Unit III,Level 0,-,-,-,-,-,-,-,-,-
,Grotte XVI,Grotte XVI Layer As,Unit IV,Level Abc,AA,AA-2670,26430,470,470,14C (radiocarbon) dating,-,1990,-
,,,,,,,,,,,,,
,,,,Level As,AA,AA-2668,20070,330,330,14C (radiocarbon) dating,-,1990,-
,,,,,,,,,,,,,
,,,,Level As,AA,AA-2669,20230,270,270,14C (radiocarbon) dating,-,1990,-
,,,,,,,,,,,,,
,,,,Level As,AA,AA-2991,20410,380,380,14C (radiocarbon) dating,-,1990,-
,,,,,,,,,,,,,
,,,,Level As,AA,AA-2992,20280,220,220,14C (radiocarbon) dating,-,1990,-
,,,,,,,,,,,,,
,,,,Level As,AA,AA-2993,20460,260,260,14C (radiocarbon) dating,-,1990,-
,,,,,,,,,,,,,
,,,,Level B,AA,AA-2674,39000,1000000,0,14C (radiocarbon) dating,-,1990,-
,,,,,,,,,,,,,
,,,,Level B,AA,AA-2997,38100,1670,1670,14C (radiocarbon) dating,-,1990,-
,,,,,,,,,,,,,
,,,,Level B,GifA,GifA-95581,35000,1200,1200,14C (radiocarbon) dating,-,1990,-
,,,,,,,,,,,,,
,,,,Level C,-,-,64000,3100,3100,TL (thermoluminescence) dating,sediment,1999,average date of 6 TL dates
,Grotte XVI,Grotte XVI Layer Abc,Unit IV,Level Abc,AA,AA-2670,26430,470,470,14C (radiocarbon) dating,-,1990,-
,,,,,,,,,,,,,
,,,,Level As,AA,AA-2668,20070,330,330,14C (radiocarbon) dating,-,1990,-
,,,,,,,,,,,,,
,,,,Level As,AA,AA-2669,20230,270,270,14C (radiocarbon) dating,-,1990,-
,,,,,,,,,,,,,
,,,,Level As,AA,AA-2991,20410,380,380,14C (radiocarbon) dating,-,1990,-
,,,,,,,,,,,,,
,,,,Level As,AA,AA-2992,20280,220,220,14C (radiocarbon) dating,-,1990,-
,,,,,,,,,,,,,
,,,,Level As,AA,AA-2993,20460,260,260,14C (radiocarbon) dating,-,1990,-
,,,,,,,,,,,,,
,,,,Level B,AA,AA-2674,39000,1000000,0,14C (radiocarbon) dating,-,1990,-
,,,,,,,,,,,,,
,,,,Level B,AA,AA-2997,38100,1670,1670,14C (radiocarbon) dating,-,1990,-
,,,,,,,,,,,,,
,,,,Level B,GifA,GifA-95581,35000,1200,1200,14C (radiocarbon) dating,-,1990,-
,,,,,,,,,,,,,
,,,,Level C,-,-,64000,3100,3100,TL (thermoluminescence) dating,sediment,1999,average date of 6 TL dates
,Grotte XVI,Grotte XVI Layer Abb,Unit IV,Level Abc,AA,AA-2670,26430,470,470,14C (radiocarbon) dating,-,1990,-
,,,,,,,,,,,,,
